Name,IMDB Rating,Duration,Year,Age,Genres
Karz,2.1,137 min,2008,All Ages,"Bollywood: Drama, Drama: Bollywood, Drama: Crime, Drama: Romance, World Cinema: Indian"
Mon Mane Na,4.9,132 min,2008,All Ages,"Drama: Romance, Romance: Drama, World Cinema: Indian"
Encounter,,122 min,2013,18+,"Drama: Crime, Drama: Political, World Cinema: Indian"
Kadhal Sadugudu,7.1,146 min,2003,All Ages,"Drama: Romance, World Cinema: Indian"
Hare Ram,6.7,147 min,2008,18+,"Drama: Crime, Drama: Romance, World Cinema: Indian"
It’s Only Money,6.5,83 min,1962,NR,"Comedy, Drama"
Vayasu Pasanga,,132 min,2004,13+,"Drama: Romance, World Cinema: Indian"
Rangrezz,5.2,131 min,2013,13+,"Bollywood: Action/Adventure, Bollywood: Drama, Drama: Bollywood, World Cinema: Indian"
Aata Pita,,132 min,2010,All Ages,"Drama: Comedy, World Cinema: Indian"
Paayum Puli,7.3,130 min,1983,All Ages,"Drama: Crime, World Cinema: Indian"
Dass,3.3,154 min,2005,13+,"Drama, Drama: Romance, World Cinema: Indian"
Ek Vivaah… Aisa Bhi,5.4,132 min,2008,All Ages,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, World Cinema: Indian"
Saaya,5.8,125 min,2003,NR,"Bollywood: Drama, Bollywood: Thriller, Drama: Bollywood, Drama: Mystery, Drama: Thriller, World Cinema: Indian"
Aval Varuvala,6.1,145 min,1998,13+,"Drama: Romance, World Cinema: Indian"
Ek Din Achanak,7.1,106 min,1988,All Ages,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian"
Shirdi Saibaba,3.5,150 min,2001,All Ages,"Bollywood: Drama, Drama: Bollywood, Mythology, World Cinema: Indian"
42,7.5,128 min,2013,13+,"Drama: Biography, Drama: Historical, Sport: Baseball"
Lakeer – Forbidden Lines,4.3,161 min,2004,All Ages,"Bollywood: Drama, Drama: Bollywood, Drama: Crime, Drama: Romance, World Cinema: Indian"
Aankhen,6.7,168 min,1993,13+,"Bollywood: Comedy, Bollywood: Drama, Comedy: Action/Adventure, Drama: Bollywood, Drama: Comedy, World Cinema: Indian"
Chal Dharpakad,,129 min,2010,All Ages,"Drama, Sport: Wrestling, World Cinema: Indian"
Paying Guest,7,135 min,1957,18+,"Bollywood: Drama, Drama: Bollywood, Drama: Crime, Drama: Romance, World Cinema: Indian"
Damaad,7.7,110 min,1978,All Ages,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian"
Beta,6.3,156 min,1992,All Ages,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian"
Aradhana,7.7,158 min,1969,All Ages,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian"
Salim Langde Pe Mat Ro,7.5,111 min,1989,13+,"Bollywood: Drama, Drama: Bollywood, Drama: Crime, World Cinema: Indian"
Footpath,5.3,164 min,2003,NR,"Bollywood: Drama, Drama: Bollywood, Drama: Crime, World Cinema: Indian"
Anbe Anbe,,139 min,2003,All Ages,"Drama, Drama: Romance, World Cinema: Indian"
Once More,6.1,160 min,1997,All Ages,"Drama, Drama: Romance, World Cinema: Indian"
Bandhan,7.5,137 min,2004,All Ages,"Drama, Romance, World Cinema: Indian"
Duniya,7.6,169 min,1984,All Ages,"Bollywood: Drama, Drama: Bollywood, Drama: Crime, World Cinema: Indian"
